County,"2,020","2,021","2,022"
Atlantic ,"274,190","274,956","275,382"
Bergen,"953,690","955,383","953,540"
Burlington ,"461,682","464,479","466,101"
Camden ,"523,122","524,093","524,649"
Cape May ,"95,044","95,706","95,405"
Cumberland ,"153,719","152,083","151,347"
Essex ,"859,974","854,233","849,724"
Gloucester,"302,563","304,592","306,767"
Hudson ,"721,879","703,448","702,381"
Hunterdon ,"128,786","129,671","129,805"
Mercer ,"386,466","382,172","380,779"
Middlesex ,"861,408","862,364","861,094"
Monmouth ,"642,836","646,517","644,228"
Morris ,"508,439","510,613","511,219"
Ocean ,"638,465","649,825","655,663"
Passaic,"523,439","518,376","513,634"
Salem ,"64,841","65,045","65,157"
Somerset,"344,754","346,498","347,047"
Sussex ,"143,915","145,721","145,575"
Union ,"573,660","572,833","570,417"
Warren ,"109,520","110,567","110,903"
